pollster,fieldwork_end,labour,conservative,reform,libdem,green,leader_net,source_url
Deltapoll,2025-01-03,30.0,23.0,22.0,12.0,9.0,-42,https://deltapoll.co.uk/wp-content/uploads/2025/01/Deltapoll-MoS_250106.pdf
Freshwater Strategy,2025-01-06,28.0,29.0,23.0,12.0,5.0,,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-070125-FINAL.xlsx
Find Out Now,2025-01-08,25.0,20.0,25.0,11.0,11.0,,https://web.archive.org/web/20250109125721/https://cms.findoutnow.co.uk/app/uploads/2025/01/8th-Jan-VI-Find-Out-Now.xlsx
More in Common,2025-01-08,26.0,26.0,22.0,12.0,7.0,,https://www.moreincommon.org.uk/media/uiwb2sat/january-8-voting-intention.xlsx
Opinium,2025-01-10,29.0,23.0,24.0,10.0,9.0,-33,https://web.archive.org/web/20250111201737/https://www.opinium.com/wp-content/uploads/2025/01/VI-2025-01-08-Observer-Tables.xlsx
YouGov,2025-01-13,26.0,22.0,25.0,14.0,8.0,-41,https://ygo-assets-websites-editorial-emea.yougov.net/documents/VotingIntention_MRP_250113_w.pdf
More in Common,2025-01-13,24.0,25.0,24.0,12.0,8.0,-39,https://www.moreincommon.org.uk/media/jffes4ou/january-13-vi-and-political-trackers.xlsx
Ipsos,2025-01-13,,,,,,-27,https://www.ipsos.com/en-uk/more-britons-favourable-towards-nigel-farage-keir-starmer-kemi-badenoch-and-ed-davey
JL Partners,2025-01-14,26.0,25.0,22.0,13.0,9.0,,https://jlpartners.co.uk/s/Voting-Intention-blyp.xlsx
Find Out Now,2025-01-15,24.0,25.0,25.0,12.0,10.0,,https://cms.findoutnow.co.uk/app/uploads/2025/01/15th-Jan-VI-Find-Out-Now.xlsx
Techne,2025-01-16,26.0,25.0,23.0,12.0,7.0,,https://web.archive.org/web/20250117010538/https://www.techneuk.com/wp-content/uploads/2025/01/R137-UK-2024-1-17-DATA.pdf
YouGov,2025-01-20,26.0,22.0,24.0,14.0,9.0,,https://ygo-assets-websites-editorial-emea.yougov.net/documents/VotingIntention_MRP_250120.pdf
More in Common,2025-01-20,24.0,25.0,25.0,12.0,7.0,-36,https://www.moreincommon.org.uk/media/k4pp3jza/january-20-voting-intention.xlsx
Deltapoll,2025-01-20,29.0,25.0,22.0,11.0,8.0,-35,https://deltapoll.co.uk/wp-content/uploads/2025/01/Deltapoll-IfG-Conference-250121.pdf
